,id,song,album,artist,acousticness_x,danceability_x,duration_ms_x,energy_x,instrumentalness_x,key_x,liveness_x,loudness_x,mode_x,speechiness_x,tempo_x,time_signature,valence_x,album_id,date,date_year,duration_ms_d,com_f_x,acousticness_y,artists,danceability_y,duration_ms_y,energy_y,explicit,instrumentalness_y,key_y,liveness_y,loudness_y,mode_y,name,popularity,release_date,speechiness_y,tempo_y,valence_y,year,release_date_year,artists_d,com_f_y,popularity_dummy,lyrics,stats_dict_tuple,num_sentences,num_words,num_syllables,readability,grade,richness,Language,neg,neu,pos,compound,compound_vader_polarity,artist_popularity
0,1mTxphc9naXMLE9qfMkEVh,,,,,,,,,,,,,,,,,,,,,,0.0309,['The Cotton Candy Blues Band'],0.593,187286,0.45,0,0.00187,2,0.3339999999999999,-10.679,1,Early in the morning,0,1940,0.0307,112.054,0.4539999999999999,1940,1940-01-01,The Cotton Candy Blues Band,The Cotton Candy Blues Band187286Early in the morning0.03090.5930.4500.0018720.334-10.67910.0307112.0540.454,0,"money on the table , i ain ' tryna play with you what you got for a player right now ? got her hands on me , got bands on me got bands on me right now money on the table , i ain ' tryna play with you what you got for a player right now ? got her hands on me , got bands on me got bands on me right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now i know my ex bitch mad , made the ho pack her bags she a xanny head and poppin ' tags and fryin ' facts faygo cotton candy , drop a deuce in the twenty ounce foreign paint candy , on the weekend probably bring it out thick redbone like my ex bitch letty two hundred thou in cash , your baby daddy money petty i ' the wrong nigga at the show to try to push up on beat a nigga ass in the crowd if he lookin ' wrong & stuffed in the pesos hoodie spending ten dollars on a 5x hoodie me a lil tommie count a hundred thou , all new big face benjis , hundred dollar bills , all blue money on the table , i ain ' tryna play with you what you got for a player right now ? got her hands on me , got bands on me got bands on me right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now whole lot of cash on us i was broke but a nigga came up i ' still the thug i was i need the same more love girl you know you fuckin ' with a boss , yeah aw yeah , i ' the type of nigga you should call yeah you got what i need , i want it i need more racks and less talkin ' purple my cup make me fade away you actors denzel , no training day this glock bless a nigga , amazing grace broad day , bang mask , no face no case money on the table , i ain ' tryna play with you what you got for a player right now ? got her hands on me , got bands on me got bands on me right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now what you got for me right now yeah bitch , right now checkin ' chickens daily , ' nother twenty bands wipe down in the early morning , told ' em bring the steak and rice out got niggas locked up so you know i ' shipping kites out rollie plain jane , tryna turn it to a bust down same hoes curved me same hoes wanna fuck now was broke a year ago , i can ' lie but i ' up now in the field slidin ', tryna score like a touchdown seminary to the sea , a broke bitch i can ' be twelve - hundred for the kicks , another band for the teeth vvs on my neck , catch these hoes if you reach never trickin ', i ' a pimp for this dick it ' a fee bitch money on the table , i ain ' tryna play with you what you got for a player right now ? got her hands on me , got bands on me got bands on me right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now right now , right now right now , right now , right now , right now","({'num_sentences': 6, 'num_words': 783, 'num_syllables': 735}, {'readability': -5.036, 'grade': 'College Graduate'})",6.0,783.0,735.0,-5.0360000000000005,College Graduate,0.1779769526248399,en,0.102,0.846,0.052,-0.9857,-1.0,0.0
1,2Tp1yCGNjjZ39HTEnKaqhx,,,,,,,,,,,,,,,,,,,,,,0.976,['The Keynotes'],0.369,103333,0.228,0,0.0,1,0.15,-9.628,1,I Don't Know,0,1945,0.03,82.39399999999998,0.5720000000000001,1945,1945-01-01,The Keynotes,The Keynotes103333I Don't Know0.9760.3690.22800.010.15-9.62810.0382.393999999999980.5720000000000001,0,"i don ' know why i love you like i do oh , my darling why won ' you be true ? i don ' know why i love you like i do , well maybe it ' because you love me true , still no , no , no , no oh , oh come back , my darling please come back to me , well tell me , pretty baby that you will be true , still no , no , no , no oh , oh maybe someday , my dear you will understand , well tell me , then , my darling dear i can be your man , still no , no , no , no oh , oh go ! i don ' know why i love you like i do oh , my darling why won ' you be true ? i don ' know why i love you like i do , well maybe it ' because you love me true , still no , no , no , no oh , oh , ooh","({'num_sentences': 4, 'num_words': 186, 'num_syllables': 152}, {'readability': 90.502, 'grade': '5th Grade'})",4.0,186.0,152.0,90.502,5th Grade,0.0765027322404371,en,0.294,0.455,0.251,-0.8895,-1.0,5.0
2,3plzStfrkTOq9lehqqI3bG,,,,,,,,,,,,,,,,,,,,,,0.366,['EOR'],0.631,324882,0.682,0,0.0,9,0.3379999999999999,-10.486,0,Till,0,1946,0.0417,150.061,0.386,1946,1946-01-01,EOR,EOR324882Till0.3660.6310.68200.090.338-10.48600.0417150.0610.386,0,"hook : i ' just tryna be my own man , my own man can you tell me bout the omen , the omen tryna get it on my own man , my own man man the kid is now a grown man , grown man verse1 : i ' way to focused on my grown man vison grown man choices with grown man decisons young kids dying but the grown man living i ' tryna stop sining jesus paid it like tuition marcus - jamal , im getting back to the old me see i said marcus not passion ya ' ll niggas owe me i opened up a little my nigga , see ya ' ll owe me i ' better than i ever was and these demons can ' hold me events of my life have been misfortunate came from a single mother i ' not a fortune kid i put my life on the track my nigga i was born for this and i ' walking with god im staying were the glory is i work hard , i push my niggas till they break i push em till they break , cuz thats something that i don ' take i come from a place were they shoot you like a tape poilce doa and there ant no second takes - passion ! hook : i ' just tryna be my own man , my own man can you tell me bout the omen , the omen tryna get it on my own man , my own man man the kid is now a grown man , grown man verse2 : they call me mr . imperfect cussing in my raps and i be sinning in the churches showing you the good and the bad yo is it worth it ? but how my auntie looking at me , yo is it worth it ? i just hope she understand tho stretching for my dreams like they been sitting on the mantel i done seen some kids get blown back like candle the lord never put too much on me that i can ' handle it make me worry cuz i ' ll know he ' ll more markae texting me like "" what yo smoking gas for ,? maybe you should pray for your granddad more don ' complain about the dream boy this what you asked for "" ramen noodles everyday im just tryna eat more popping perky ' they had me downer than an eor got these famous look at me like what is he for don ' elevator to the top the stairs are my detour hook : i ' just tryna be my own man , my own man can you tell me bout the omen , the omen tryna get it on my own man , my own man man the kid is now a grown man , grown man","({'num_sentences': 6, 'num_words': 495, 'num_syllables': 527}, {'readability': 33.028, 'grade': 'College Level'})",6.0,495.0,527.0,33.028,College Level,0.2545824847250509,en,0.064,0.8,0.136,0.9856,1.0,46.0
3,2MGhUOnAifh3znlInWnywc,,,,,,,,,,,,,,,,,,,,,,0.926,['Lowell Fulson'],0.67,170333,0.351,0,0.00531,0,0.168,-5.714,1,Fulson Blues,0,1945,0.0693,140.253,0.58,1945,1945-01-01,Lowell Fulson,Lowell Fulson170333Fulson Blues0.9260.670.3510000000000000300.005310000000000000500.168-5.71410.0693140.2530.58,0,"i ain ' heard your voice in such as long time and i ain ' called your number on that telephone line and i believed in my soul that i left you behind but here i am calling and here i am crying i ' ve got the blues won ' you save me i ' ve got the blues as far as i can see i ' ve got the blues won ' you save me ' cause i ' feel like i ' dying from that old used to be now if the angels don ' swim in the ocean and if the fishes don ' walk on the sea and if my teardrops don ' rise up to heaven then that angel i ' loving lord , she never loved me i ' ve got the blues won ' you save me i ' ve got the blues as far as i can see i ' ve got the blues won ' you save me ' cause i ' feel like i ' dying from that old used to be","({'num_sentences': 1, 'num_words': 183, 'num_syllables': 179}, {'readability': -61.661, 'grade': 'College Graduate'})",1.0,183.0,179.0,-61.661,College Graduate,0.1912568306010929,en,0.109,0.8170000000000001,0.074,-0.5831,-1.0,38.0
4,1vDRvO1X021HlJY2NnqUU2,,,,,,,,,,,,,,,,,,,,,,0.962,['Sonny Boy Williamson I'],0.5720000000000001,186227,0.1639999999999999,0,0.00346,0,0.247,-15.842,1,Down South,0,1945,0.0471,78.439,0.6609999999999999,1945,1945-01-01,Sonny Boy Williamson I,Sonny Boy Williamson I186227Down South0.9620.57200000000000010.1639999999999999800.0034600.247-15.84210.047178.4390.6609999999999999,0,"hobo blues 3 : 22 trk yank rachel - vocal & guitar sonny boy williamson i - harmonica . mitchell - bass cano or im strng bass washboard sam - wshbrd recorded studio , chicago , il . apr . 3 , original issue bluebird 8768 / bs - 064104 - 1 album : bluebird vol . ' that ' chicago ' south side ' bmg music 63988 - 2 ' gonna leave my baby this mo ' nin ' lordy , saw that i would be hobo lord , i hobo a long , long way from home lordy , saw that i would be hobo you know i hobo a long , long way from home you know , ev ' rytime i get a - thinkin ' about my baby man , i couldn ' do nothin ' but hang my head an moan baby , an ev ' rytime i decide to hobo i take the jungle to be my home ev ' rytime i would ' cide to hobo lord , take the jungle to be my home now , you know i ' ' on do just like a prod ' gal son i ' goin ' back home an ' acknowlege i done wrong ' i don ' need you no mo ', baby ' that mo ' nin ' bout half past fo ' lord , that ol ' freight train begin to reel an rock dawn , that mo ' nin ' bout half past fo ' man that ol freight train begin to reel an rock ' lord have mercy ' . . you know i went to the door i looked out ' sonny , i didn ' know what this all about ' ' now boy , let ' tell ya ' ' take it on down there for me ' ' washboard sam , i ain ' struttin ' you ' ' bet you ' guys wup that can ' to death ' lord , the lightnin ' it was flashin ' boy , the dark cloud risin ' in the east . . ' oh yeah , glad ya stay here a little while , you know ' ' yes my lord , listen sonny ' lord , the lightnin ' it was flashin ' a dark cloud was risin ' in the east . . lord , then i hung my head an i cried ' lord , what in the world ' gon ' become a - me ?' lord , back home with my baby go on just a - happy as i can be girl , i ' back home with my baby i ' just a - happy as i can be but the next time i decide to hobo i ' ' on have my woman right beside a - me ~","({'num_sentences': 8, 'num_words': 486, 'num_syllables': 434}, {'readability': 69.626, 'grade': '9th Grade'})",8.0,486.0,434.0,69.626,9th Grade,0.2,en,0.034,0.913,0.053,0.6788,1.0,60.8484016149315
5,25RgKJvcn4LZJEpgQJ4JBh,,,,,,,,,,,,,,,,,,,,,,0.941,['The Keynotes'],0.2,207573,0.15,0,0.0,11,0.19,-11.986,1,A Star,0,1945,0.0282,167.696,0.297,1945,1945-01-01,The Keynotes,The Keynotes207573A Star0.9410.20.1500.0110.19-11.98610.0282167.6960.297,0,"inhale white folks asking questions like "" um , who the fuck is them ? how they get in here ? and how they dress like that ?"" must be green thumbs , ain ' nobody in their right minds that dumb fresh , we be making all ' telling bitches stop calling , mind they business ' till we follow up red cup , modeled up , can ' even imagine but for tonight , you ' se a star , right ? right ? i know check and see who ' ass is the biggest and make sure them hoes don ' step on your toes when you get in call the doctor up , tell them fill up my prescription and yeah , we got the game in our hands like some children by now , you looking at your mans like damn why you ain ' tell me that these niggas be spazzing i be praying god , let these moments last and we roll up that shit that got everybody laughing make sure my shoes sueded out then waste money in the hood ' cause they niggas never gave it out pristine dreams and opium scenes that ' why a nigga dressed this way and even if i did design my own shit , i could put it on a billboard and still have ' all bragging when you paid for it tailored for the world , i was made for it and walk right out the sun , i got the shades for it uh , huh green herb , reverb hella far you fellas are licking pussy and sniffing the scent that i left up in it while sipping liquor from a jelly jar el debarge oozing out my system listening to my feelings saturated with tones , reanimated the bones of a dead art she said that i ' cute but she love me ' cause my head smart i ' ll headbutt her hard enough to get a red card , i ' wigging damn brother , you been castrated by that cookie cutter slave master got control of ya they throat cutting , just to get a hold of us but we ain ' shaking hands until we see some hands that can hold thunder i got my own mustard twisting up the pretzel pinching the weed like a flower petal she love me , she love me not , it ' whatever i know i ' burning herbal like a turtle ' till i ' shrouded feathers yeah make sure my shoes sueded out then waste money in the hood ' cause they niggas never gave it out pristine dreams and opium scenes that ' why a nigga dressed this way and even if i did design my own shit , i could put it on a billboard and still have ' all bragging when you paid for it tailored for the world , i was made for it and walk right out the sun , i got the shades for it mad max in the evening , it seems like we been in meetings for the last five weekends i ' just trying to make it to the end where they greet me niggas know your last name , everybody cheesing glad that your ass came , valet for the free skii nah , little bro for these see on me , please this is nasty for led ' we be in another climate with all these trees and the neighborhood watching , just like we thieves i ' not best , but hey , we in suits from the tailor sit down and let the keynote adress ya pull out your homework , i show you where you messed up niggas walked in the room , all extra groupie bitches on alert , bet they heads turned i know you haters can ' stand us but damn , we got the answers go on and get them hands up make sure my shoes sueded out then waste money in the hood ' cause they niggas never gave it out pristine dreams and opium scenes that ' why a nigga dressed this way and even if i did design my own shit , i could put it on a billboard and still have ' all bragging when you paid for it tailored for the world , i was made for it and walk right out the sun , i got the shades for it uh you blokes can ' imagine why i ' spazzing fucking with the baddest hoes , groomed for the pageant visiting mom , she like she knew this would happen worried i ain ' eating , send me food in a basket ooh , god damn it , the game getting grown answering the phone like god damn , whatchu want man if venus ever died , i would stand on my own but it ' rest in peace , on every piece of land that i own imitation is suicide you can die off of following the footsteps of a pterodactyl off a cliff former slaves wreaking havoc on a ship supreme court bitches steady judging automatic plead the fifth i don ' speak to ' em because they seem stupid and honestly probably alluded by my music i ain ' tripping a terrifying nigga , hot as teriyaki chicken tearing up your living room whenever i visit nigga , listen make sure my shoes sueded out then waste money in the hood ' cause they niggas never gave it out pristine dreams and opium scenes that ' why a nigga dressed this way and even if i did design my own shit , i could put it on a billboard and still have ' all bragging when you paid for it tailored for the world , i was made for it and walk right out the sun , i got the shades for it","({'num_sentences': 5, 'num_words': 1006, 'num_syllables': 1145}, {'readability': -93.672, 'grade': 'College Graduate'})",5.0,1006.0,1145.0,-93.672,College Graduate,0.2323030907278165,en,0.145,0.736,0.119,-0.989,-1.0,5.0
6,1gfgFflkeYBuAtk3Dl0nxb,,,,,,,,,,,,,,,,,,,,,,0.877,['Elise Hayes'],0.415,84519,0.129,0,0.0,0,0.139,-11.623,1,Let It Snow,0,1945,0.0357,162.30700000000004,0.5870000000000001,1945,1945-01-01,Elise Hayes,Elise Hayes84519Let It Snow0.8770.4150.12900.000.139-11.62310.0357162.307000000000040.5870000000000001,0,"yeah , yeah ow … hey well , samson and delilah ' beauty shop hey , there baby let your long hair drop samson and delilah ' beauty shop hey , there baby let your long hair drop well i ' ma gonna ease your mind tell you where to find the best salon oh , past the local liquor store quarter of a mile beyond they begin to a - whirlin ' and a - curlin ' and a - twirlin ' your hair , oh … my you can be believin ' you ' ll be happy when you ' re leavin ' from there oh ya samson and delilah ' beauty shop hey there baby let your long hair drop samson and delilah ' beauty shop i said hey there baby let your long hair drop donna gonna graduate an ' katie ' got a date alright oh , yes indeed they guarantee they ' re gonna look their best tonight if you make appointments early and they ' ll never leave you in no lurch oh , yes indeed they guarantee you ' re lookin ' mighty nice for church ' cmon samson and delilah ' beauty shop hey there baby let your long hair drop samson and delilah ' beauty shop hey baby let your long hair drop drop aw … oh , let it drop say , mrs . hayes highest praise is something very hard to win she won ' show her face in anybody else ' place again well a while ago mr . cole would never even step inside but now you know it ' even so he even gets his gray hair dyed where ? right down at samson and delilah ' beauty shop hey there baby let your long hair drop samson and delilah ' beauty shop baby let your long hair drop drop drop you sittin ' and contemplatin ' waitin ' on your hair to dry readin ' magazines about the people in the public eye well , johnny carson , richard burton jackie and lady di larry hageman , sally field and dolly parton , me oh my it ' all yours at samson and delilah ' beauty shop hey , there baby let your long hair drop samson and delilah ' beauty shop i said , hey there baby let your long hair drop said , samson and delilah ' beauty shop baby let your long hair drop samson and delilah ' beauty shop hey , there baby let your long … hair … ah , 1 , 2 , 3 , drop ' cmon and drop yeah ' cmon and drop drop , drop , ah drop i said yeah let it drop drop","({'num_sentences': 4, 'num_words': 463, 'num_syllables': 518}, {'readability': -5.301, 'grade': 'College Graduate'})",4.0,463.0,518.0,-5.301,College Graduate,0.2526997840172786,en,0.109,0.682,0.209,0.9954,1.0,10.0
7,30YoNppdDkG5WbbOiLyVSN,,,,,,,,,,,,,,,,,,,,,,0.99,['Memphis Slim'],0.57,157680,0.617,0,0.6509999999999999,0,0.17,-4.853,1,Now I Got the Blues,0,1946,0.0509,97.85,0.938,1946,1946-01-01,Memphis Slim,Memphis Slim157680Now I Got the Blues0.990.570.61700.650999999999999900.17-4.85310.050997.850.938,0,"my baby found new place to go hangs around town at the club - a - gogo takes all my money for the picture show but i know she spends it at the club - a - gogo let ' go , baby , let ' go , i love you , come on , yeah it ' one of the coolest spots in town you take too much though it ' bound to get you down she ' got a boyfriend they call big joe he ' a big shot at the club - a - gogo baby , come on , let ' go , let ' go baby , yeah now they play the blues there every day and every night everybody , monkeys , and they feel alright ask my friend meyer he ' ll tell you so that there ain ' no place like the club - a - gogo let ' go babe , ah , let ' go , come on it ' alright , it ' alright , it ' alright , yeah i guess i can ' blame her for goin ' up there though the place is full of soul , heart and soul , baby it ' alright , dad , john lee hooker , jerome green rolling stones , memphis slim up there jimmy reed too , baby , sonny boy williamson , baby","({'num_sentences': 1, 'num_words': 236, 'num_syllables': 224}, {'readability': -113.003, 'grade': 'College Graduate'})",1.0,236.0,224.0,-113.003,College Graduate,0.2966101694915254,en,0.011,0.8270000000000001,0.162,0.9726,1.0,35.0
8,3IJlujhYlxbQSFBwM0H1ep,,,,,,,,,,,,,,,,,,,,,,0.995,['The Soft Winds'],0.469,272973,0.0728,0,0.939,8,0.104,-29.06,1,All The Things You Are,0,1947,0.043,133.775,0.581,1947,1947-01-01,The Soft Winds,The Soft Winds272973All The Things You Are0.9950.4690.072800.93980.104-29.0610.043133.7750.581,0,"baby , lay with me in the dream sea starlight flowing from the pleiades stay forever , my dear things aren ' the same without you ' round here all sins are washed away in the dream sea soft winds blow us towards our destiny stay forever , my dear things aren ' the same without you ' round here all sins are washed away in the dream sea soft winds blow us towards our destiny stay forever , my dear things aren ' the same without you ' round here","({'num_sentences': 1, 'num_words': 91, 'num_syllables': 107}, {'readability': 14.995, 'grade': 'College Graduate'})",1.0,91.0,107.0,14.995,College Graduate,0.0879120879120879,en,0.065,0.787,0.149,0.7003,1.0,0.0
9,2ZtiwhRV9gQczWPu8vZHPr,,,,,,,,,,,,,,,,,,,,,,0.939,['Lead Belly'],0.731,108251,0.487,0,0.000247,9,0.308,-8.236,1,Army Life,0,1947,0.0867,117.985,0.882,1947,1947-01-01,Lead Belly,Lead Belly108251Army Life0.9390.7310.48700.0002470000000000000490.308-8.23610.0867117.9850.882,0,"breez evahflowin ' ft . immortal technique - "" land of the gun "" ] : nigga , you ' re not the sheriff no more . we got a new sheriff in town . big brother here , big brother ' the sheriff now , nigga : you ain ' the sheriff here no more , nigga . we ' re taking the law back : that ' what he said james nichols : "" some people , "" law enforcement ,"" if you want to call ' em that were here and they were shaking in their shoes . they were physically shaking , scared to death . because certain people said , "" i ' a radical , i ' a wild man . you say anything , i ' ll shoot ya . if the people find out how they ' ve been ripped off and , and enslaved in this country by the government , by the powers to be , they will revolt with anger . merciless anger . there ' ll be blood running in the street ."" word to melle mel , master yo ticket to ride the white crime highway bring all the guns , the funds will come my way whether we ' re delivering high grade to the people in the pit of the tri - state , or dabble in the middle like fly weights , lock and load in the range of what rock the globe . made any aim poss - - ible ' til the lead belly lost control in the hold of the paper that fold . at one time , was related to gold , made many men lose their soul to the price of the dice that roll how can a light so bright make a man so cold ? so another man ' plans unfold . can you really see it true ' til it happens to you ? it ' so severe what the hopeless will do uh huh . yo ain ' no picking your position to begin in your life . not every man wanna stand by his kids and his wife . too many lost kids in the night , hand on heat , gripping it tight . any man want beef could get it right followed by enough flame to put a permanent end to the learning of men class session : to many the blast the last lesson often taught like the wars that are often fought . as old as mankind . now out of his damn mind stand on the gunpowder landmine , ready to blow at any second . i ' checking for the signs of the end of all time . i figure it ' on time . my last thoughts forming the rhyme got me running through the streets that reek of the dead . it ' more food to the well - fed . my niggas on welfare nobody giving up healthcare . nothing but heat — how you gonna tell me it ain ' hell here ? george bush having a swell year , swinging the gat , ready to clap anything on the map . you done seen what they bring to iraq . now bring it back to the source , land of the physical force , land of the gun , land of the gun , land of the gun , land of the gun yeah , all my people out there , lock and load this is the place where cops are rushing the building paramilitary death squads murder your children empty shell of a man licking shots in the air soldiers dying out there , but nobody cares prepare for the future , but make note of the past or be condemned to live it again and get blast class warfare kept out of the news , replaced by a corporation ' political views ' cause this is where the guns are manufactured and sold , the land that was stolen , stripped of all of its gold old - timers on their deathbed , speaking the wisdom immigrants crucified by conservative christians and we all got freedom to die in the street , but the difference is more of us die in a week than they die in a year . i made it clear where i stand when the line is drawn , but now the line is gone . and , nigga anything goes . the land where the guns don ' let anything grow . and what the fuck you niggas know about living in hell ? you ' re not built like me . you never lived in a cell . you never gambled with your soul . fuck the ice in your hand . gun in your palm , but you got a nigga ' life in your hand . young man , just remember that slicing a gram is a bloody game like throwing mice in a fan . my words flow like the rivers that ' west of iran . the fertile crescent moon with the star in the middle . i ' ll reveal the depth of history ' scars when i scribble . i gave you the world and i ain ' even charge you a little . the martyr is crippled , the pro - - phets are dead and buried , but the message is simple and it ' not written down in holy books as a riddle now we running through the streets , starving , on that guerilla warfare . my people stuck in a guerilla warfare . innocent children screaming in tears . you acting like the army ain ' brought hell here . military industry having a swell year , swinging a gat or lying in heaven , living off a blank check after 9 / 11 , but i ' ma have the truth brought back to the source , fight for my land with physical force , speak through music the subliminal course . i need a tec and a clip fuck a chain or porsche . land of the gun , land of the gun , land of the gun , land of the gun yeah . yeah . immortal technique , breez evahflowin ', harlem . what ?","({'num_sentences': 55, 'num_words': 1119, 'num_syllables': 1134}, {'readability': 100.45, 'grade': '5th Grade'})",55.0,1119.0,1134.0,100.45,5th Grade,0.2598130841121495,en,0.146,0.747,0.107,-0.9931,-1.0,47.0
